,#,Symbol,Link,Description
44,44,S,http://api.kibot.com/?action=download&link=48434r4f4l4kz24e4f4p4r4l4n52294r524m4az24b4s4r4s4n4a4p294s4k484c4g4s4p4r4a4cz22i294p524j494l4iz2zv294f4k4r4a4n4t484iz24r4f434h294p4r484n4r4c484r4az22j2h2j2h2j2s2i2i294c4f4n4a434rz22j29484r4r48434e4j4a4k4rz22j294n4a4d4s4i484n4p4a4p4p4f4l4kz22i294s4p4a4nz248494a4kz5434l4j43484p4r2g4k4a4r294m484p4p4u4l4n4cz24a4b4a2k4a4n4a4d4mae7v72,CONTINUOUS SOYBEANS CONTRACT
45,45,IN,http://api.kibot.com/?action=download&link=k2k6kbknkikf13k9knkrkbkikhz334kbz3kcku13k8ktkbktkhkukr34ktkfk2k7kdktkrkbkuk7133g34krz3kek4kikg131l1g34knkfkbkukhkjk2kg13kbknk6ka34krkbk2khkbk7k2kbku133e3a3e3a3e3t3g3g34k7knkhkuk6kb133e34k2kbkbk2k6k9kekukfkb133e34khkuklktkgk2khkrkukrkrknkikf133g34ktkrkukh13k2k4kukf1zk6kikek6k2krkb3dkfkukb34kck2krkrkvkikhk713kuk8ku3fkukhkuklkcahav7v7f,CONTINUOUS CNX NIFTY INDEX CONTRACT
46,46,SPI,http://api.kibot.com/?action=download&link=bpb6b9b2bebcmub7b2b3b9bebkluu5b9lubfbzmub1bab9babkbzb3u5babcbpbsbdbab3b9bzbsmuu4u5b3lubnb5beb4mumrmcmju5b2bcb9bzbkbhbpb4mub9b2b6b8u5b3b9bpbkb9bsbpb9bzmuunu8unu8unuau4u4u5bsb2bkbzb6b9muunu5bpb9b9bpb6b7bnbzbcb9muunu5bkbzbjbab4bpbkb3bzb3b3b2bebcmuu4u5bab3bzbkmubpb5bzbcmlb6bebnb6bpb3b9udbcbzb9u5bfbpb3b3bgbebkbsmubzb1bzucbzbkbzbjbfaea2ah7v7c,CONTINUOUS SFE SPI 200 CONTRACT
47,47,AEX,http://api.kibot.com/?action=download&link=hmhahfhchlh413huhchrhfhlhje335hfe3h2h713hzhthfhthjh7hr35hth4hmhkhshthrhfh7hk133635hre3hih5hlh6131d1a1835hch4hfh7hjh8hmh613hfhchahb35hrhfhmhjhfhkhmhfh7133i3b3i3b3i3t363635hkhchjh7hahf133i35hmhfhfhmhahuhih7h4hf133i35hjh7h9hth6hmhjhrh7hrhrhchlh4133635hthrh7hj13hmh5h7h41ehahlhihahmhrhf3sh4h7hf35h2hmhrhrhvhlhjhk13h7hzh734h7hjh7h9h2a4a6a37v7c,CONTINUOUS AEX INDEX CONTRACT
48,48,C,http://api.kibot.com/?action=download&link=4z494s4e4l4k134d4e4r4s4l4p53384s534m4c134a4t4s4t4p4c4r384t4k4z4h4f4t4r4s4c4h133i384r534j484l4i131z384e4k4s4c4p4u4z4i134s4e494g384r4s4z4p4s4h4z4s4c133j3g3j3g3j3t3i3i384h4e4p4c494s133j384z4s4s4z494d4j4c4k4s133j384p4c4b4t4i4z4p4r4c4r4r4e4l4k133i384t4r4c4p134z484c4k15494l4j494z4r4s3f4k4c4s384m4z4r4r4v4l4p4h134c4a4c3k4c4p4c4b4mab7v72,CONTINUOUS CORN CONTRACT
49,49,W,http://api.kibot.com/?action=download&link=38373s3f3l3kz23e3f3r3s3l3p42293s423m3az23b3v3s3v3p3a3r293v3k383c3g3v3r3s3a3cz22i293r423j393l3iz2zv293f3k3s3a3p3t383iz23s3f373h293r3s383p3s3c383s3az22j2h2j2h2j2v2i2i293c3f3p3a373sz22j29383s3s38373e3j3a3k3sz22j293p3a3d3v3i383p3r3a3r3r3f3l3kz22i293v3r3a3pz238393a3kz4373l3j37383r3s2g3k3a3s293m383r3r3u3l3p3cz23a3b3a2k3a3p3a3d3mau7v72,CONTINUOUS WHEAT CONTRACT
50,50,EMD,http://api.kibot.com/?action=download&link=nznfngnjn8na13nsnjnengn8ndk33bngk3n9nu13n6npngnpndnune3bnpnanzn5n7npnengnun5133t3bnek3n2nbn8nt131f1l1b3bnjnangnundncnznt13ngnjnfnl3bnengnzndngn5nzngnu13323l323l323p3t3t3bn5njndnunfng13323bnzngngnznfnsn2nunang13323bndnun4npntnzndnenunenenjn8na133t3bnpnenund13nznbnuna1knfn8n2nfnzneng37nanung3bn9nznenenvn8ndn513nun6nu3anundnun4n9a6agas7v7c,CONTINUOUS E-MINI S&P MIDCAP 400 CONTRACT
51,51,CT,http://api.kibot.com/?action=download&link=mkm2mfmamlmd13m9mamrmfmlmiu33zmfu3mbm813m6mtmfmtmim8mr3zmtmdmkm7m4mtmrmfm8m7133c3zmru3mjmzmlmc131k1i3zmamdmfm8mimgmkmc13mfmam2me3zmrmfmkmimfm7mkmfm8133j3e3j3e3j3t3c3c3zm7mamim8m2mf133j3zmkmfmfmkm2m9mjm8mdmf133j3zmim8mhmtmcmkmimrm8mrmrmamlmd133c3zmtmrm8mi13mkmzm8md1um2mlmjm2mkmrmf34mdm8mf3zmbmkmrmrmvmlmim713m8m6m83dm8mim8mhmbabac7v7f,CONTINUOUS COTTON #2 CONTRACT
52,52,SS,http://api.kibot.com/?action=download&link=48434r4f4l4kz24e4f4p4r4l4n52294r524m4az24b4s4r4s4n4a4p294s4k484c4g4s4p4r4a4cz22i294p524j494l4iz2zvzv294f4k4r4a4n4t484iz24r4f434h294p4r484n4r4c484r4az22j2h2j2h2j2s2i2i294c4f4n4a434rz22j29484r4r48434e4j4a4k4rz22j294n4a4d4s4i484n4p4a4p4p4f4l4kz22i294s4p4a4nz248494a4kz5434l4j43484p4r2g4k4a4r294m484p4p4u4l4n4cz24a4b4a2k4a4n4a4d4maeae7v7f,CONTINUOUS MSCI SINGAPORE INDEX CONTRACT
53,53,SW,http://api.kibot.com/?action=download&link=mzm5mgmfmlmapum9mfmemgmlmn1uu4mg1umbm7pum8mimgmimnm7meu4mimamzm6m3mimemgm7m6puucu4me1umjm4mlmcpuptpiu4mfmamgm7mnmrmzmcpumgmfm5mhu4memgmzmnmgm6mzmgm7puujuhujuhujuiucucu4m6mfmnm7m5mgpuuju4mzmgmgmzm5m9mjm7mamgpuuju4mnm7mdmimcmzmnmem7mememfmlmapuucu4mimem7mnpumzm4m7map1m5mlmjm5mzmemgu3mam7mgu4mbmzmememkmlmnm6pum7m8m7uam7mnm7mdmbaeau7v7f,CONTINUOUS SMI CONTRACT
54,54,BX,http://api.kibot.com/?action=download&link=mzm4memfmlmc13m6mfmrmemlmbu335meu3mam813m7mtmemtmbm8mr35mtmcmzm2m9mtmrmem8m2133g35mru3mjm5mlmg131k1i35mfmcmem8mbmimzmg13memfm4mh35mrmemzmbmem2mzmem8133j3h3j3h3j3t3g3g35m2mfmbm8m4me133j35mzmememzm4m6mjm8mcme133j35mbm8mdmtmgmzmbmrm8mrmrmfmlmc133g35mtmrm8mb13mzm5m8mc1um4mlmjm4mzmrme39mcm8me35mamzmrmrmvmlmbm213m8m7m83cm8mbm8mdmaaka37v7f,CONTINUOUS EURO BUXL CONTRACT
55,55,LG,http://api.kibot.com/?action=download&link=p2p6phpcpkps13plpcprphpkpaz334phz3pfpj13p8ptphptpapjpr34ptpsp2p7piptprphpjp7133d34prz3pgp4pkpd131i1j34pcpsphpjpapep2pd13phpcp6pb34prphp2paphp7p2phpj133g3b3g3b3g3t3d3d34p7pcpapjp6ph133g34p2phphp2p6plpgpjpsph133g34papjp9ptpdp2paprpjprprpcpkps133d34ptprpjpa13p2p4pjps1zp6pkpgp6p2prph3ipspjph34pfp2prprpvpkpap713pjp8pj3spjpapjp9pfa9ap7v7f,CONTINUOUS LONG GILT CONTRACT
56,56,CN,http://api.kibot.com/?action=download&link=kmk4kbkaklkd13k9kakrkbklkfz332kbz3kck813k6ktkbktkfk8kr32ktkdkmk7kuktkrkbk8k7133g32krz3kjk2klkg131m1g32kakdkbk8kfkikmkg13kbkak4ke32krkbkmkfkbk7kmkbk8133j3e3j3e3j3t3g3g32k7kakfk8k4kb133j32kmkbkbkmk4k9kjk8kdkb133j32kfk8khktkgkmkfkrk8krkrkaklkd133g32ktkrk8kf13kmk2k8kd1zk4klkjk4kmkrkb3ukdk8kb32kckmkrkrkvklkfk713k8k6k83dk8kfk8khkcabav7v7f,CONTINUOUS FTSE CHINA A50 CONTRACT
57,57,BTP,http://api.kibot.com/?action=download&link=aua6asafalab13a7afarasalagi335asi3a9a413aeatasataga4ar35atabauapa2atarasa4ap133k35ari3aja5alak13181g1b35afabasa4agacauak13asafa6ah35arasauagasapauasa4133j3h3j3h3j3t3k3k35apafaga4a6as133j35auasasaua6a7aja4abas133j35aga4adatakauagara4ararafalab133k35atara4ag13aua5a4ab1ia6alaja6auaras32aba4as35a9auararavalagap13a4aea43ba4aga4ada9akaca27v7c,CONTINUOUS EURO-BTP ITALIAN GOVT BONDS LONG TERM CONTRACT
58,58,BO,http://api.kibot.com/?action=download&link=r2r6rlrfrarc13r8rfrkrlrarbz335rlz3rjrv13r7rprlrprbrvrk35rprcr2r4r9rprkrlrvr4133g35rkz3rnr5rarg131m1n35rfrcrlrvrbrir2rg13rlrfr6rh35rkrlr2rbrlr4r2rlrv133n3h3n3h3n3p3g3g35r4rfrbrvr6rl133n35r2rlrlr2r6r8rnrvrcrl133n35rbrvrdrprgr2rbrkrvrkrkrfrarc133g35rprkrvrb13r2r5rvrc1zr6rarnr6r2rkrl39rcrvrl35rjr2rkrkrurarbr413rvr7rv3crvrbrvrdrjakan7v7f,CONTINUOUS SOYBEAN OIL CONTRACT
59,59,MME,http://api.kibot.com/?action=download&link=z6zhznz8zgze13zcz8zmznzgzlk337znk3zdzs13z9zpznzpzlzszm37zpzez6ztzazpzmznzszt133j37zmk3zbz7zgzj131r1r1h37z8zeznzszlzfz6zj13znz8zhzr37zmznz6zlznztz6znzs133b3r3b3r3b3p3j3j37ztz8zlzszhzn133b37z6znznz6zhzczbzszezn133b37zlzsz2zpzjz6zlzmzszmzmz8zgze133j37zpzmzszl13z6z7zsze1kzhzgzbzhz6zmzn3azezszn37zdz6zmzmzvzgzlzt13zsz9zs3ezszlzsz2zdagaga67v7c,CONTINUOUS MINI MSCI EMERGING MARKETS CONTRACT
60,60,WIN,http://api.kibot.com/?action=download&link=lzl6lhl4lblfekldl4lrlhlbl8gkkslhgkl5lnekl3ltlhltl8lnlrksltlflzlml2ltlrlhlnlmekkakslrgklclslblaeketejeaksl4lflhlnl8l7lzlaeklhl4l6l9kslrlhlzl8lhlmlzlhlnekkck9kck9kcktkakakslml4l8lnl6lhekkckslzlhlhlzl6ldlclnlflhekkcksl8lnljltlalzl8lrlnlrlrl4lblfekkaksltlrlnl8eklzlslnlfegl6lblcl6lzlrlhk2lflnlhksl5lzlrlrlulbl8lmeklnl3lnkflnl8lnljl5auahav7v7c,CONTINUOUS IBOVESPA MINI STOCK INDEX CONTRACT
61,61,VX,http://api.kibot.com/?action=download&link=kuk2kikfklka13k9kfkrkiklkes33zkis3kbk813k4ktkiktkek8kr3zktkakuk7k6ktkrkik8k7133c3zkrs3kjkzklkc131i1g3zkfkakik8kekgkukc13kikfk2kh3zkrkikukekik7kukik8133j3h3j3h3j3t3c3c3zk7kfkek8k2ki133j3zkukikikuk2k9kjk8kaki133j3zkek8kdktkckukekrk8krkrkfklka133c3zktkrk8ke13kukzk8ka1sk2klkjk2kukrki36kak8ki3zkbkukrkrkvklkek713k8k4k83ak8kek8kdkbada37v7f,CONTINUOUS CBOE VOLATILITY INDEX (VIX) CONTRACT
62,62,SB,http://api.kibot.com/?action=download&link=p2p6pbpfplpaszp7pfpepbplpn1zz4pb1zpcpgszp8pipbpipnpgpez4pipap2p5p3pipepbpgp5szz9z4pe1zpjp4plp9szstskz4pfpapbpgpnprp2p9szpbpfp6phz4pepbp2pnpbp5p2pbpgszzjzhzjzhzjziz9z9z4p5pfpnpgp6pbszzjz4p2pbpbp2p6p7pjpgpapbszzjz4pnpgpdpip9p2pnpepgpepepfplpaszz9z4pipepgpnszp2p4pgpas1p6plpjp6p2pepbz3papgpbz4pcp2pepepmplpnp5szpgp8pgzapgpnpgpdpcaeak7v7f,CONTINUOUS SUGAR #11 WORLD CONTRACT
63,63,SM,http://api.kibot.com/?action=download&link=r2r6rlrfrbraszr9rfrerlrbrg1zz4rl1zrjrtszr8rirlrirgrtrez4rirar2r7r3rirerlrtr7szzhz4re1zrcr4rbrhszspsnz4rfrarlrtrgrkr2rhszrlrfr6rnz4rerlr2rgrlr7r2rlrtszzcznzcznzczizhzhz4r7rfrgrtr6rlszzcz4r2rlrlr2r6r9rcrtrarlszzcz4rgrtrdrirhr2rgrertrererfrbraszzhz4rirertrgszr2r4rtras1r6rbrcr6r2rerlz3rartrlz4rjr2rerermrbrgr7szrtr8rtzartrgrtrdrjaeag7v7f,CONTINUOUS SOYBEAN MEAL CONTRACT
64,64,IND,http://api.kibot.com/?action=download&link=jzj6jfj4jgjd13jsj4jrjfjgj2k33bjfk3j9ju13jpjtjfjtj2jujr3bjtjdjzj5j7jtjrjfjuj5133h3bjrk3jajbjgjh13181h1b3bj4jdjfjuj2jcjzjh13jfj4j6jn3bjrjfjzj2jfj5jzjfju133a3n3a3n3a3t3h3h3bj5j4j2juj6jf133a3bjzjfjfjzj6jsjajujdjf133a3bj2juj8jtjhjzj2jrjujrjrj4jgjd133h3bjtjrjuj213jzjbjujd1kj6jgjaj6jzjrjf37jdjujf3bj9jzjrjrjvjgj2j513jujpju3djuj2juj8j9ahavas7v7c,CONTINUOUS IBOVESPA STOCK INDEX CONTRACT
65,65,M6A,http://api.kibot.com/?action=download&link=vsv3vev5v9v1mdvrv5vavev9vhkddjvekdvuv2mdvpvcvevcvhv2vadjvcv1vsvlvnvcvavev2vlmddfdjvakdvzvjv9vfmdm7dhm4djv5v1vev2vhv6vsvfmdvev5v3v7djvavevsvhvevlvsvev2mddzd7dzd7dzdcdfdfdjvlv5vhv2v3vemddzdjvsvevevsv3vrvzv2v1vemddzdjvhv2v8vcvfvsvhvav2vavav5v9v1mddfdjvcvav2vhmdvsvjv2v1mkv3v9vzv3vsvavednv1v2vedjvuvsvavavgv9vhvlmdv2vpv2d1v2vhv2v8vuag7ca47v7c,CONTINUOUS E-MICRO AUD/USD CONTRACT
66,66,DOL,http://api.kibot.com/?action=download&link=rzr6rlrfr4rj13rurfrarlr4r9e33crle3r2rv13r5rgrlrgr9rvra3crgrjrzrkrsrgrarlrvrk13373crae3rnrcr4r7131c1n1s3crfrjrlrvr9r8rzr713rlrfr6rh3crarlrzr9rlrkrzrlrv133n3h3n3h3n3g37373crkrfr9rvr6rl133n3crzrlrlrzr6rurnrvrjrl133n3cr9rvrdrgr7rzr9rarvrararfr4rj13373crgrarvr913rzrcrvrj1er6r4rnr6rzrarl3srjrvrl3cr2rzrararpr4r9rk13rvr5rv3jrvr9rvrdr2asana97v7c,CONTINUOUS COMMERCIAL DOLLAR CONTRACT
67,67,OAT,http://api.kibot.com/?action=download&link=i5i7ifibivi613izibigifiviln33pifn3i8i913isimifimili9ig3pimi6i5iritimigifi9ir13323pign3i4ipivi213141d1l3pibi6ifi9iliji5i213ifibi7ih3pigifi5ilifiri5ifi913343h343h343m32323piribili9i7if13343pi5ififi5i7izi4i9i6if13343pili9icimi2i5iligi9igigibivi613323pimigi9il13i5ipi9i61ni7ivi4i7i5igif3ti6i9if3pi8i5igigiuivilir13i9isi936i9ili9ici8ana4ac7v7c,CONTINUOUS EURO OAT CONTRACT
68,68,PA,http://api.kibot.com/?action=download&link=p5p7pgpbplpi13p6pbprpgplpas334pgs3pdp913p8ptpgptpap9pr34ptpip5p2pzptprpgp9p2133f34prs3pjp4plpf131i1k34pbpipgp9papep5pf13pgpbp7ph34prpgp5papgp2p5pgp9133j3h3j3h3j3t3f3f34p2pbpap9p7pg133j34p5pgpgp5p7p6pjp9pipg133j34pap9pcptpfp5paprp9prprpbplpi133f34ptprp9pa13p5p4p9pi1sp7plpjp7p5prpg3zpip9pg34pdp5prprpvplpap213p9p8p93ip9pap9pcpda2a47v7f,CONTINUOUS PALLADIUM CONTRACT
69,69,KC,http://api.kibot.com/?action=download&link=pkp7pfpnpepg13p6pnpmpfpepjz334pfz3pdp913p8ptpfptpjp9pm34ptpgpkp2pbptpmpfp9p2133h34pmz3pap4peph131n1k34pnpgpfp9pjplpkph13pfpnp7pr34pmpfpkpjpfp2pkpfp9133a3r3a3r3a3t3h3h34p2pnpjp9p7pf133a34pkpfpfpkp7p6pap9pgpf133a34pjp9pcptphpkpjpmp9pmpmpnpepg133h34ptpmp9pj13pkp4p9pg1zp7pepap7pkpmpf3bpgp9pf34pdpkpmpmpvpepjp213p9p8p93gp9pjp9pcpdajab7v7f,CONTINUOUS COFFEE CONTRACT
70,70,TN,http://api.kibot.com/?action=download&link=k2k6kbkfklka13k9kfkrkbklkis33zkbs3kcku13k8ktkbktkikukr3zktkak2k7k4ktkrkbkuk7133g3zkrs3kjkzklkg131i1g3zkfkakbkukikek2kg13kbkfk6kh3zkrkbk2kikbk7k2kbku133j3h3j3h3j3t3g3g3zk7kfkikuk6kb133j3zk2kbkbk2k6k9kjkukakb133j3zkikukdktkgk2kikrkukrkrkfklka133g3zktkrkuki13k2kzkuka1sk6klkjk6k2krkb34kakukb3zkck2krkrkvklkik713kuk8ku3akukikukdkcacav7v7f,CONTINUOUS ULTRA 10 YR US TREASURY NOTE CONTRACT
71,71,MGC,http://api.kibot.com/?action=download&link=jfjsjhj9jtj813j2j9jgjhjtjbk335jhk3jlje13jujmjhjmjbjejg35jmj8jfjzj6jmjgjhjejz133c35jgk3j4j5jtjc131i1e1f35j9j8jhjejbjdjfjc13jhj9jsji35jgjhjfjbjhjzjfjhje13343i343i343m3c3c35jzj9jbjejsjh133435jfjhjhjfjsj2j4jej8jh133435jbjej7jmjcjfjbjgjejgjgj9jtj8133c35jmjgjejb13jfj5jej81kjsjtj4jsjfjgjh36j8jejh35jljfjgjgjvjtjbjz13jejuje38jejbjej7jlagapab7v7c,CONTINUOUS E-MICRO GOLD CONTRACT
72,72,ED,http://api.kibot.com/?action=download&link=p2pmpepcplpd13p8pcprpeplpfz33kpez3pap713p6ptpeptpfp7pr3kptpdp2p4piptprpep7p4133j3kprz3pgpkplpj131m1k3kpcpdpep7pfphp2pj13pepcpmpb3kprpep2pfpep4p2pep7133g3b3g3b3g3t3j3j3kp4pcpfp7pmpe133g3kp2pepep2pmp8pgp7pdpe133g3kpfp7p9ptpjp2pfprp7prprpcplpd133j3kptprp7pf13p2pkp7pd1zpmplpgpmp2prpe3ipdp7pe3kpap2prprpvplpfp413p7p6p73dp7pfp7p9paa6as7v7f,CONTINUOUS EURODOLLAR CONTRACT
73,73,BZ,http://api.kibot.com/?action=download&link=lrlzlel3lglcntl2l3lflelglbptt1leptlalvntl5lhlelhlblvlft1lhlclrlul9lhlflelvluntt6t1lfptl7l1lgl6ntnmlkt1l3lclelvlblilrl6ntlel3lzl8t1lflelrlblelulrlelvntt7t8t7t8t7tht6t6t1lul3lblvlzlentt7t1lrlelelrlzl2l7lvlclentt7t1lblvl4lhl6lrlblflvlflfl3lglcntt6t1lhlflvlbntlrl1lvlcnplzlgl7lzlrlflet9lclvlet1lalrlflfljlglbluntlvl5lvtclvlblvl4laak1z7v7f,CONTINUOUS BRENT CRUDE OIL LAST DAY CONTRACT
74,74,YT,http://api.kibot.com/?action=download&link=mzm6memfmlmakpm8mfmrmemlmi3pp5me3pmbm4kpm7mtmemtmim4mrp5mtmamzm2m9mtmrmem4m2kppcp5mr3pmjm5mlmckpkvkip5mfmamem4mimgmzmckpmemfm6mhp5mrmemzmimem2mzmem4kppjphpjphpjptpcpcp5m2mfmim4m6mekppjp5mzmememzm6m8mjm4mamekppjp5mim4mdmtmcmzmimrm4mrmrmfmlmakppcp5mtmrm4mikpmzm5m4mak3m6mlmjm6mzmrmep9mam4mep5mbmzmrmrmvmlmim2kpm4m7m4pam4mim4mdmbamac7v7f,CONTINUOUS 3 YR AUSTRALIAN TREASURY BOND CONTRACT
75,75,YG,http://api.kibot.com/?action=download&link=p2p6phpcpkpamsplpcprphpkpe3ss5ph3spfpjmsp7ptphptpepjprs5ptpap2p4p9ptprphpjp4mssds5pr3spgp5pkpdmsmvmjs5pcpaphpjpepip2pdmsphpcp6pbs5prphp2pephp4p2phpjmssgsbsgsbsgstsdsds5p4pcpepjp6phmssgs5p2phphp2p6plpgpjpaphmssgs5pepjp8ptpdp2peprpjprprpcpkpamssds5ptprpjpemsp2p5pjpam3p6pkpgp6p2prphs9papjphs5pfp2prprpvpkpep4mspjp7pjsapjpepjp8pfamap7v7f,CONTINUOUS MINI GOLD CONTRACT
76,76,WDO,http://api.kibot.com/?action=download&link=bzb6b9bfb8b4gmbubfbeb9b8b7rmmcb9rmbjbigmb3bkb9bkb7bibemcbkb4bzbtb2bkbeb9bibtgmm5mcbermbnbcb8b5gmgkgcgnmcbfb4b9bib7blbzb5gmb9bfb6bhmcbeb9bzb7b9btbzb9bigmmnmhmnmhmnmkm5m5mcbtbfb7bib6b9gmmnmcbzb9b9bzb6bubnbib4b9gmmnmcb7bibdbkb5bzb7bebibebebfb8b4gmm5mcbkbebib7gmbzbcbib4grb6b8bnb6bzbeb9m2b4bib9mcbjbzbebebab8b7btgmbib3bim4bib7bibdbjauasan7v7c,CONTINUOUS MINI US DOLLAR CONTRACT
77,77,CC,http://api.kibot.com/?action=download&link=4z494s4e4l4k134d4e4r4s4l4p53384s534m4c134a4t4s4t4p4c4r384t4k4z4h4f4t4r4s4c4h133i384r534j484l4i131z1z384e4k4s4c4p4u4z4i134s4e494g384r4s4z4p4s4h4z4s4c133j3g3j3g3j3t3i3i384h4e4p4c494s133j384z4s4s4z494d4j4c4k4s133j384p4c4b4t4i4z4p4r4c4r4r4e4l4k133i384t4r4c4p134z484c4k15494l4j494z4r4s3f4k4c4s384m4z4r4r4v4l4p4h134c4a4c3k4c4p4c4b4mabab7v7f,CONTINUOUS COCOA CONTRACT
78,78,SX,http://api.kibot.com/?action=download&link=t1t4tgtftltaszt9tftetgtltnuzz2tguztbt8szt6titgtitnt8tez2titat1t7t3titetgt8t7szzcz2teuztjt2tltcszsksrz2tftatgt8tntrt1tcsztgtft4thz2tetgt1tntgt7t1tgt8szzjzhzjzhzjzizczcz2t7tftnt8t4tgszzjz2t1tgtgt1t4t9tjt8tatgszzjz2tnt8tdtitct1tntet8tetetftltaszzcz2titet8tnszt1t2t8tasut4tltjt4t1tetgz3tat8tgz2tbt1tetetmtltnt7szt8t6t8zat8tnt8tdtbaea37v7f,CONTINUOUS EURO STOXX BANKS CONTRACT
79,79,KW,http://api.kibot.com/?action=download&link=v3v5vgvnvevhpuv9vnvmvgvevjzuu4vgzuvbv7puv8vtvgvtvjv7vmu4vtvhv3v6vfvtvmvgv7v6puucu4vmzuvav4vevcpupnptu4vnvhvgv7vjvlv3vcpuvgvnv5vru4vmvgv3vjvgv6v3vgv7puuauruauruautucucu4v6vnvjv7v5vgpuuau4v3vgvgv3v5v9vav7vhvgpuuau4vjv7vdvtvcv3vjvmv7vmvmvnvevhpuucu4vtvmv7vjpuv3v4v7vhpzv5vevav5v3vmvgufvhv7vgu4vbv3vmvmvkvevjv6puv7v8v7uhv7vjv7vdvbajau7v7f,CONTINUOUS HARD RED WINTER WHEAT CONTRACT
80,80,MFS,http://api.kibot.com/?action=download&link=eze6e8efete1s2evefece8etejm225e8m2e9eks2euebe8ebejekec25ebe1eze3e7ebece8eke3s22h25ecm2e4e5etehs2sls3sg25efe1e8ekejeaezehs2e8efe6el25ece8ezeje8e3eze8eks2242l242l242b2h2h25e3efejeke6e8s22425eze8e8eze6eve4eke1e8s22425ejekedebehezejecekececefete1s22h25ebecekejs2eze5eke1sme6ete4e6ezece827e1eke825e9ezececeieteje3s2ekeuek21ekejekede9aga8ae7v7c,CONTINUOUS MINI MSCI EAFE INDEX CONTRACT
81,81,SP,http://api.kibot.com/?action=download&link=m2m6memfmlmipum9mfmbmemlmn1uu4me1umamzpum8mgmemgmnmzmbu4mgmim2m7m3mgmbmemzm7puucu4mb1umjm4mlmcpuptpiu4mfmimemzmnmrm2mcpumemfm6mhu4mbmem2mnmem7m2memzpuujuhujuhujugucucu4m7mfmnmzm6mepuuju4m2memem2m6m9mjmzmimepuuju4mnmzmdmgmcm2mnmbmzmbmbmfmlmipuucu4mgmbmzmnpum2m4mzmip1m6mlmjm6m2mbmeu3mimzmeu4mam2mbmbmkmlmnm7pumzm8mzuimzmnmzmdmaaea27v7f,CONTINUOUS S&P 500 INDEX CONTRACT
82,82,M6B,http://api.kibot.com/?action=download&link=vnv3vfv5v9v1mdvrv5vgvfv9vhkddjvfkdvzvumdvsvcvfvcvhvuvgdjvcv1vnvivpvcvgvfvuvimdd4djvgkdv2vjv9v4mdm7dhmadjv5v1vfvuvhvtvnv4mdvfv5v3v7djvgvfvnvhvfvivnvfvumdd2d7d2d7d2dcd4d4djviv5vhvuv3vfmdd2djvnvfvfvnv3vrv2vuv1vfmdd2djvhvuv6vcv4vnvhvgvuvgvgv5v9v1mdd4djvcvgvuvhmdvnvjvuv1mkv3v9v2v3vnvgvfdpv1vuvfdjvzvnvgvgvev9vhvimdvuvsvud1vuvhvuv6vzag7cak7v7c,CONTINUOUS E-MICRO GBP/USD CONTRACT
83,83,JE,http://api.kibot.com/?action=download&link=m2mimemcmlmd13mkmcmrmemlmfz334mez3mam713m8mtmemtmfm7mr34mtmdm2m6mjmtmrmem7m6133p34mrz3mgm4mlmp131k1i34mcmdmem7mfmhm2mp13memcmimb34mrmem2mfmem6m2mem7133g3b3g3b3g3t3p3p34m6mcmfm7mime133g34m2memem2mimkmgm7mdme133g34mfm7m9mtmpm2mfmrm7mrmrmcmlmd133p34mtmrm7mf13m2m4m7md1zmimlmgmim2mrme3jmdm7me34mam2mrmrmvmlmfm613m7m8m73dm7mfm7m9maaia67v7f,CONTINUOUS E-MINI JAPANESE YEN CONTRACT
84,84,HE,http://api.kibot.com/?action=download&link=p2pkphpcplpm13pjpcprphplpaz334phz3pfp713piptphptpap7pr34ptpmp2p6p8ptprphp7p6133d34prz3pgp4plpd131i1k34pcpmphp7papep2pd13phpcpkpb34prphp2paphp6p2php7133g3b3g3b3g3t3d3d34p6pcpap7pkph133g34p2phphp2pkpjpgp7pmph133g34pap7p9ptpdp2paprp7prprpcplpm133d34ptprp7pa13p2p4p7pm1zpkplpgpkp2prph38pmp7ph34pfp2prprpvplpap613p7pip73mp7pap7p9pfala67v7f,CONTINUOUS LEAN HOGS CONTRACT
85,85,LE,http://api.kibot.com/?action=download&link=p2pkphpcplps13pjpcprphplpaz334phz3pfp713p8ptphptpap7pr34ptpsp2p6piptprphp7p6133d34prz3pgp4plpd131i1k34pcpsphp7papep2pd13phpcpkpb34prphp2paphp6p2php7133g3b3g3b3g3t3d3d34p6pcpap7pkph133g34p2phphp2pkpjpgp7psph133g34pap7p9ptpdp2paprp7prprpcplps133d34ptprp7pa13p2p4p7ps1zpkplpgpkp2prph3ipsp7ph34pfp2prprpvplpap613p7p8p73sp7pap7p9pfa9a67v7f,CONTINUOUS LIVE CATTLE CONTRACT
