propertycode,Minimum,Maximum
135906,80.56,161.11
135958,56.8,56.8
136027,35.06,164.22
136077,81.59,184.87
136099,67.13,196.23
136273,102.24,146.66
136275,63.0,111.54
136289,66.62,174.54
136319,64.14,107.42
136333,81.59,122.9
136335,80.56,128.07
136340,74.88,111.54
136341,86.75,174.54
136400,50.6,149.75
136431,77.46,103.28
136478,48.28,91.92
136494,50.11,157.61
136496,67.02,99.98
136509,153.51,161.58
136513,72.3,154.92
136532,51.64,75.39
136545,55.77,115.67
136578,68.16,126.0
136598,62.77,122.9
136607,225.15,698.18
136613,81.59,174.54
136615,84.18,166.28
136636,91.92,154.92
136665,41.31,149.75
136693,63.0,133.23
136701,51.64,109.48
136716,60.93,122.9
136804,80.56,340.82
136902,36.15,76.43
136975,55.77,86.75
136996,64.03,121.87
137044,73.43,154.92
137081,115.05,211.52
137208,82.63,148.72
137228,57.84,97.08
137323,60.93,98.12
137358,73.43,143.56
137361,59.91,113.6
137367,67.64,134.27
137394,136.63,197.06
137409,122.64,485.41
137436,73.84,153.88
137438,75.39,102.24
137470,44.41,77.46
137472,71.27,165.24
137524,77.46,169.38
137527,60.93,102.24
137542,73.43,79.01
137578,87.79,129.1
137597,82.52,133.23
137638,81.59,144.59
137651,86.02,195.2
137744,82.63,144.59
137751,56.8,144.59
137774,81.59,115.67
137782,65.07,101.22
137788,56.8,77.46
137801,87.79,123.94
137811,82.52,158.33
137866,70.23,104.31
137928,44.61,78.06
137945,90.23,140.41
137980,54.75,76.04
137984,133.83,331.53
137990,90.74,100.87
138046,60.84,173.88
138081,55.64,102.2
138105,76.04,157.14
138109,88.21,108.49
138133,65.9,71.17
138145,59.82,129.08
138224,75.53,187.56
138227,92.15,128.75
138228,81.1,121.66
138270,70.97,136.87
138273,80.1,172.35
138321,54.75,116.59
138410,76.04,86.18
138462,80.1,125.21
138520,99.46,211.89
138570,104.43,134.84
138676,70.2,107.08
138685,45.21,142.54
138716,72.61,218.92
138717,30.7,95.18
138725,54.73,54.73
138775,27.37,52.35
138836,47.35,78.29
138866,36.39,125.88
138916,53.55,90.11
138947,44.3,67.76
138979,56.29,116.79
139014,62.55,78.19
139029,67.76,104.25
139054,44.83,70.89
139071,51.91,69.85
139101,40.1,84.45
139105,50.04,50.04
139349,68.3,248.88
139454,139.64,269.46
139541,55.25,75.35
139561,34.16,204.94
139564,64.65,135.93
139609,41.99,116.53
139676,195.9,457.11
139783,63.29,271.25
139848,58.46,132.78
139866,88.41,240.1
139897,82.32,362.42
139904,40.18,85.39
139906,40.18,65.3
139959,170.79,575.05
140008,45.21,79.37
140047,35.16,134.62
140109,65.3,202.94
140216,167.59,212.04
140228,81.64,181.98
140279,260.39,396.88
140309,95.83,167.47
140338,77.44,193.6
140346,104.54,217.05
140358,96.8,174.24
140381,210.06,222.64
140414,183.92,237.16
140420,134.55,270.08
140447,87.12,135.51
140482,142.54,232.32
140487,101.64,387.2
140496,115.19,314.6
140526,123.13,287.94
140638,147.83,316.78
140645,42.23,84.48
140667,52.8,137.27
140671,115.09,136.21
140680,42.74,57.02
140681,75.08,141.6
140685,83.41,115.09
140688,89.75,143.6
140689,79.19,163.67
140692,84.48,147.83
140713,77.61,216.99
140724,72.23,147.83
140734,47.52,168.94
140738,73.91,105.59
140744,89.75,193.23
140747,47.52,142.55
140748,65.57,157.34
140757,104.54,294.6
140766,58.07,131.99
140772,190.07,253.42
140773,67.57,162.61
140774,179.51,374.85
140775,44.88,178.61
140779,73.91,126.71
140791,103.59,170.11
140794,95.03,157.34
140795,93.98,157.34
140796,122.49,221.74
140799,63.36,84.48
140806,67.57,110.87
140810,52.27,84.48
140816,68.64,100.32
140824,79.19,121.43
140829,95.03,147.83
140840,118.26,149.94
140841,400.72,600.82
140847,128.83,368.34
140862,100.32,262.92
140863,100.32,473.05
140864,87.65,126.71
140865,41.57,236.53
140878,52.8,84.48
140883,51.74,90.81
140893,132.84,143.14
140900,78.14,189.01
140903,67.32,104.54
140904,68.64,105.59
140908,73.59,167.89
140914,52.8,73.91
140924,76.12,312.66
140926,83.41,183.73
140928,194.82,312.56
140929,120.38,179.51
140932,85.53,350.67
140937,74.05,163.67
140948,71.27,123.54
140955,68.64,218.58
140956,72.69,171.06
140958,71.27,100.32
140962,65.47,102.42
140965,107.26,179.51
140978,101.19,150.39
140981,47.52,68.64
140985,47.52,95.03
140991,84.48,100.32
140992,163.67,174.23
140995,100.32,126.71
141006,57.02,131.99
141012,72.86,117.21
141013,79.83,273.48
141015,121.43,200.62
141019,211.19,211.19
141020,95.03,137.27
141021,70.74,126.71
141024,88.7,116.57
141037,95.03,126.71
141045,174.23,200.62
141049,79.24,210.12
141076,47.52,100.32
141081,95.03,219.11
141083,126.71,147.83
141099,48.57,90.81
141101,103.83,145.72
141102,47.52,89.75
141104,83.41,125.66
141108,95.03,200.62
141111,138.22,566.81
141116,136.21,158.39
141122,99.14,168.25
141123,65.57,133.89
141125,76.03,118.26
141127,84.48,105.59
141135,71.81,84.48
141148,89.75,290.38
141150,91.87,105.59
141157,140.43,236.53
141164,36.96,79.19
141175,96.09,96.09
141179,68.64,116.16
141181,73.86,126.71
141183,99.25,189.01
141192,161.56,432.4
141205,105.59,391.11
141207,109.06,203.01
141213,84.48,84.48
141223,89.75,126.71
141238,100.32,158.39
141244,93.35,210.92
141248,91.29,161.7
141249,80.78,147.83
141250,87.65,165.78
141254,64.52,122.06
141268,101.37,163.46
141271,52.27,82.36
141276,92.28,200.63
141277,105.59,229.66
141280,66.52,66.52
141283,73.86,116.1
141284,165.91,216.27
141291,61.77,131.99
141303,92.4,190.07
141314,84.48,84.48
141322,76.18,118.79
141323,125.66,167.89
141337,95.03,142.55
141341,42.23,95.03
141344,63.36,89.75
141353,84.48,84.48
141355,79.19,100.32
141358,52.27,139.38
141360,163.67,163.67
141361,84.48,221.74
141363,100.32,147.83
141365,101.37,177.39
141369,84.48,121.43
141375,63.36,137.27
141376,79.19,88.7
141400,62.3,157.34
141408,142.55,184.78
141409,116.16,168.94
141411,73.91,105.59
141425,79.19,142.55
141463,83.41,88.7
141474,86.58,116.16
141480,84.48,146.77
141487,58.07,100.32
141493,87.65,124.18
141497,79.19,116.16
141508,127.76,275.6
141521,54.9,105.59
141523,81.31,200.62
141532,168.94,168.94
141537,109.29,131.99
141543,65.57,312.66
141558,103.48,145.72
141563,66.52,108.76
141564,52.27,99.78
141568,102.03,143.45
141570,68.64,227.03
141574,47.52,63.36
141576,68.64,68.64
141584,67.94,127.34
141588,48.9,55.44
141589,52.22,80.14
141593,95.03,145.55
141594,107.7,162.61
141598,104.54,174.23
141602,80.52,101.99
141603,77.19,172.11
141606,60.82,136.21
141610,101.37,174.23
141612,95.03,253.42
141615,100.32,220.69
141624,125.66,485.72
141629,104.54,199.57
141633,52.27,118.79
141638,52.8,110.87
141641,67.57,158.39
141642,55.21,167.36
141644,95.03,359.01
141648,177.5,290.64
141651,97.15,149.94
141663,116.26,258.81
141668,75.08,167.89
141669,44.35,68.64
141674,89.36,314.35
141676,82.68,171.06
141677,55.59,82.68
141680,68.64,68.64
141685,75.08,95.03
141687,105.59,205.9
141694,38.01,112.77
141697,81.83,231.25
141699,52.8,147.83
141706,83.41,195.35
141709,61.04,110.87
141711,65.29,75.84
141713,93.98,130.93
141716,89.75,158.39
141725,82.36,131.99
141728,179.61,409.69
141737,42.23,73.91
141738,50.68,87.62
141748,76.03,86.58
141749,79.19,100.32
141754,63.36,108.76
141757,142.55,190.07
141766,77.57,115.09
141768,84.58,949.38
141772,83.41,136.21
141780,180.56,263.98
141783,104.54,171.06
141792,57.02,106.44
141807,84.48,116.16
141814,50.46,109.29
141815,91.23,121.96
141816,71.27,95.03
141818,68.11,158.39
141835,61.24,131.99
141840,129.88,253.42
141846,58.07,97.15
141849,68.64,125.66
141851,67.57,67.57
141868,45.15,107.73
141869,65.47,737.65
141870,37.11,79.19
141873,48.24,125.44
141888,133.05,232.3
141892,99.25,136.21
141895,57.02,79.19
141910,73.91,131.99
141913,68.64,106.39
141914,203.79,417.09
141919,80.78,184.78
141931,73.91,116.16
141936,81.31,173.18
141937,68.64,184.78
141950,88.7,167.89
141951,89.75,121.43
141954,75.49,255.54
141957,71.81,143.6
141969,73.91,116.16
141977,115.09,167.89
141979,52.8,79.19
141984,44.88,105.59
141991,71.81,205.9
141995,89.75,137.27
142001,83.41,147.83
142009,73.91,195.35
142028,40.55,117.74
142039,89.75,137.27
142057,116.16,174.23
142065,52.8,121.43
142068,43.08,106.44
142092,52.8,100.32
142093,137.27,422.36
142110,83.63,104.54
142112,63.36,101.37
142113,87.65,179.51
142119,95.03,137.27
142136,137.27,137.27
142143,52.8,163.67
142155,72.86,146.77
142156,130.41,313.61
142158,79.19,126.71
142171,79.19,95.03
142180,72.86,83.41
142181,84.58,93.98
142184,103.59,189.01
142185,79.19,475.16
142197,88.85,117.21
142201,43.3,133.05
142202,62.3,109.82
142203,60.19,180.56
142204,94.08,317.73
142206,80.78,190.07
142208,79.19,97.15
142215,58.07,158.39
142219,107.7,107.7
142224,137.27,137.27
142226,52.27,179.51
142234,52.8,105.59
142243,89.75,100.32
142247,89.75,126.71
142255,83.41,110.87
142263,99.78,175.28
142265,110.87,216.46
142278,168.94,200.62
142284,147.83,263.98
142285,72.86,93.98
142286,73.91,104.54
142292,126.71,147.83
142294,95.03,158.39
142305,91.44,140.43
142309,51.74,79.19
142311,74.44,154.17
142315,69.29,96.21
142322,94.08,315.72
142330,109.29,142.55
142332,79.19,110.87
142333,71.81,109.71
142341,68.64,126.71
142343,93.98,199.57
142355,77.71,231.25
142357,83.41,83.41
142369,68.64,116.16
142375,116.68,161.56
142384,78.14,115.09
142387,75.18,83.63
142394,63.36,89.75
142407,52.8,104.54
142408,89.75,100.32
142415,93.98,157.34
142417,66.42,158.39
142420,73.91,168.94
142428,79.19,89.75
142433,47.52,126.71
142441,90.28,142.55
142448,56.07,72.86
142450,42.23,121.43
142451,68.64,89.75
142485,68.16,259.23
142494,40.28,50.6
142518,45.21,55.25
142522,59.28,99.46
142532,71.43,84.39
142535,73.84,131.86
142567,61.28,130.6
142574,98.45,160.74
142591,54.25,129.72
142615,81.22,151.66
142636,41.49,99.36
142639,68.19,136.05
142689,59.27,109.01
142694,65.3,148.69
142704,281.3,351.62
142752,105.48,326.5
142760,48.52,112.27
142790,51.83,112.03
142796,49.23,113.44
142839,139.64,171.22
142869,52.89,144.64
142871,49.53,93.47
142873,71.55,142.72
142883,60.78,109.4
142893,57.27,110.51
142923,50.38,86.56
142926,64.2,80.48
142928,59.04,113.34
142940,132.36,585.7
142945,57.27,74.34
142975,53.24,179.83
142984,59.28,119.55
142995,115.54,209.97
143010,79.83,201.83
143047,93.99,124.96
143066,63.21,113.04
143081,68.16,99.15
143128,82.63,118.78
143140,46.48,77.46
143151,84.15,146.43
143186,46.48,77.46
143209,61.97,106.38
143212,124.96,190.86
143226,78.83,129.1
143261,70.23,183.84
143279,77.46,185.9
143316,89.86,185.9
143321,71.27,184.87
143424,56.7,112.58
143450,81.59,98.12
143453,72.6,195.2
143478,82.63,138.39
143734,54.25,150.69
143774,74.34,119.55
143785,34.16,102.48
143796,46.14,450.42
143868,57.76,134.62
143886,68.16,166.37
143946,50.23,90.42
143970,42.94,933.0
144044,34.67,46.91
144064,52.51,125.96
144120,52.66,120.59
144238,56.79,156.56
144303,71.33,155.99
144304,53.34,172.79
144354,57.2,75.21
144376,58.27,95.44
144447,89.66,247.81
144501,76.86,210.68
144521,42.19,62.28
144544,58.76,87.07
144596,110.12,135.35
144620,53.31,84.8
144644,55.25,79.37
144749,50.73,114.53
144800,193.62,286.02
144870,369.92,1756.36
144875,100.95,516.42
144910,60.58,111.59
145070,51.23,169.79
145077,68.32,82.38
145088,50.83,240.36
145136,77.65,271.25
145137,99.26,127.58
145144,74.07,74.07
145170,117.89,264.47
145183,87.57,460.64
145234,149.08,212.96
145262,138.42,203.28
145277,47.57,172.73
145337,153.1,290.38
145338,42.23,105.59
145339,90.28,265.04
145341,121.43,262.92
145351,36.11,53.85
145359,79.19,137.27
145360,47.52,74.95
145366,72.86,83.41
145381,51.74,88.7
145382,89.75,95.03
145384,45.15,184.79
145387,49.42,130.73
145419,49.63,126.71
145420,71.27,131.99
145423,41.4,87.65
145434,42.23,126.71
145440,135.62,419.31
145451,125.66,162.61
145455,64.41,119.32
145456,76.03,126.71
145457,161.56,279.82
145473,63.36,147.83
145489,72.86,136.21
148883,77.27,170.0
148891,72.23,95.03
148900,68.64,163.67
148905,128.83,545.73
148910,90.28,417.09
148925,119.37,261.87
148934,46.57,85.53
149308,61.77,142.55
149359,77.0,163.5
149471,55.76,167.29
149528,82.12,264.61
149583,51.61,102.23
149706,39.51,82.63
149719,71.27,111.54
149724,77.2,175.79
149796,75.35,231.06
149822,84.48,147.83
149856,104.54,133.3
149876,97.15,128.83
149951,117.91,137.05
150000,66.69,176.09
150016,62.56,173.18
150071,80.56,113.6
150102,36.96,147.83
150105,57.02,221.74
150184,84.48,157.34
150194,93.98,129.88
150212,64.21,267.19
150229,99.04,177.24
150233,165.76,279.68
150326,70.89,83.4
150332,57.48,234.14
150335,53.82,66.93
150392,68.63,183.84
150399,86.58,205.9
150423,73.98,221.02
150437,57.86,89.41
150442,57.47,148.82
150537,79.19,121.43
150540,87.4,138.63
150541,64.29,89.31
150553,116.16,137.27
150557,67.57,157.34
150559,63.36,93.98
150575,82.36,158.39
150638,94.52,94.52
150676,137.27,179.51
150701,72.86,93.98
150709,66.46,136.24
150732,85.39,165.76
150744,77.19,558.37
150746,62.3,112.89
150753,89.41,149.69
150767,46.22,90.42
150794,68.21,180.56
150854,81.1,200.57
150887,83.41,104.54
150890,47.51,144.59
150903,56.07,143.8
150912,59.82,128.75
150961,129.1,129.1
151014,65.57,170.01
151030,70.33,83.38
151034,37.98,105.54
151048,118.51,289.18
151052,90.2,127.48
151083,58.65,92.96
151136,71.57,166.28
151211,79.52,88.82
151220,44.88,95.03
151230,121.43,253.42
151314,69.05,128.44
151348,116.53,173.8
151381,122.02,320.05
151468,93.83,140.74
151472,37.11,88.53
151476,452.08,522.41
151508,47.52,145.72
151509,63.36,150.47
151680,104.25,137.62
151727,95.03,167.89
151749,53.73,156.13
151763,91.33,161.02
151797,85.39,222.02
151834,68.32,104.85
151849,75.06,405.8
151872,100.32,174.23
151874,57.78,188.42
151911,39.18,55.25
151928,65.44,130.64
152005,110.51,130.6
152068,73.91,84.48
152077,138.52,514.0
152096,142.55,248.14
152177,126.12,278.87
152214,132.61,206.27
152218,55.25,72.33
152232,80.1,140.92
152233,48.9,80.56
152237,114.93,272.6
152299,89.41,350.61
152304,59.47,59.47
152398,58.21,191.89
152412,121.43,167.89
152437,41.71,63.37
152459,44.02,116.6
152485,37.18,91.42
152511,52.8,116.16
152527,91.48,91.48
152530,56.96,116.48
152564,73.33,119.35
152568,92.85,263.37
152573,46.48,120.84
152585,96.67,245.81
152600,145.63,279.89
152601,56.8,87.79
152625,62.47,190.88
152647,36.49,62.55
152681,159.43,541.85
152699,122.59,196.24
152712,237.54,356.32
152797,121.43,142.55
152799,84.26,147.83
152830,66.31,165.76
152853,203.24,471.17
152855,90.42,190.88
152856,89.72,148.69
152857,87.4,313.45
152860,109.5,561.59
152870,121.16,428.98
152891,134.62,247.74
152927,75.01,213.29
152956,61.03,133.05
153032,65.3,95.44
153036,49.0,70.89
153079,31.22,47.32
153088,68.64,127.76
153160,46.46,59.14
153206,27.26,77.9
153260,53.37,145.61
153266,82.29,149.18
153302,53.24,149.69
153321,177.62,310.43
153328,45.66,489.26
153347,123.87,194.9
153414,68.64,89.75
153417,74.34,102.48
153418,76.35,181.84
153420,88.7,346.34
153472,93.98,136.21
153577,110.87,163.67
153614,68.64,110.87
153619,512.64,556.09
153656,63.36,116.16
153694,62.28,159.74
153696,100.7,218.45
153799,50.19,92.95
153843,21.92,29.77
153892,99.78,144.67
153898,39.81,53.39
153912,80.1,251.43
153917,80.25,157.34
153918,47.52,79.19
153952,184.79,295.65
153976,67.13,67.13
154004,70.2,395.01
154014,90.42,100.46
154069,49.23,136.63
154106,99.46,176.82
154125,68.41,90.76
154142,107.09,119.45
154143,98.45,809.55
154202,62.28,73.33
154231,58.37,130.86
154263,78.14,109.82
154268,61.92,210.12
154327,52.02,111.11
154381,42.23,205.9
154390,69.37,95.03
154422,85.39,182.84
154496,99.25,119.32
154498,98.2,136.21
154508,63.36,73.91
154511,63.36,89.75
154667,109.31,294.39
154677,190.03,387.3
154683,72.58,221.02
154694,88.27,170.52
154711,45.62,179.51
154714,104.8,193.5
154715,73.91,84.48
154717,68.47,138.39
154737,67.81,157.73
154746,40.69,144.67
154747,74.97,131.87
154767,50.6,215.86
154855,33.15,83.58
154932,47.31,120.52
154959,41.31,80.64
154962,30.14,50.23
154977,943.51,994.45
155006,73.61,168.75
155054,53.03,163.59
155059,82.38,160.74
155166,60.28,139.64
155192,67.57,205.9
155195,237.2,416.67
155197,138.33,196.4
155200,109.5,144.55
155220,120.21,221.48
155225,104.54,136.21
155237,98.5,175.35
155284,59.28,143.66
155302,60.28,99.46
155305,74.36,95.02
155313,61.77,146.77
155326,137.95,255.53
155352,70.5,103.89
155354,89.08,226.05
155363,100.31,268.21
155518,141.71,159.74
155556,56.26,200.93
155625,82.78,225.84
155643,50.23,90.42
155652,36.17,174.8
155713,60.28,75.35
155850,59.91,102.24
155883,55.51,80.37
155915,86.4,156.72
155980,52.59,142.08
155986,35.99,89.91
155988,83.41,128.83
156016,55.01,172.79
156019,54.82,118.27
156025,49.84,136.21
156053,69.32,160.74
156084,85.39,226.05
156106,108.5,130.02
156116,106.13,271.64
156144,60.28,150.69
156145,48.23,82.38
156157,129.64,440.38
156160,72.33,145.67
156172,57.27,165.76
156219,52.27,68.64
156335,103.23,192.78
156352,65.74,105.25
156354,47.22,80.37
156369,80.37,180.84
156452,53.67,115.77
156528,87.63,155.79
156591,48.93,118.54
156620,40.18,140.65
156624,65.3,130.6
156686,34.08,58.43
156872,65.3,195.9
156935,63.29,118.54
156980,35.4,54.54
157068,95.44,171.29
157096,90.77,168.45
157107,69.17,170.89
157169,84.39,130.6
157221,50.23,221.02
157290,39.18,160.74
157306,44.4,69.07
157494,50.23,130.6
157508,51.23,110.51
157526,50.7,126.72
157679,26.69,46.83
157686,39.18,109.5
157697,37.97,121.7
157833,109.76,221.02
157900,62.16,136.16
157907,29.21,73.02
157932,73.23,101.27
157946,94.43,221.02
158021,82.62,118.02
158114,76.86,130.6
158150,37.46,91.78
158185,188.87,311.64
158215,121.8,164.55
158283,180.38,290.34
158287,54.9,150.62
158300,40.69,87.7
158305,85.39,256.93
158308,75.81,240.1
158327,83.44,161.88
158450,60.28,95.44
158461,45.21,88.61
158489,81.98,140.65
158535,1004.63,1105.09
158676,89.76,182.99
158740,83.35,146.29
158808,127.35,248.81
158818,59.59,188.75
158849,87.28,135.79
158881,51.23,91.42
159020,56.64,126.59
159023,43.01,84.39
159027,49.45,120.88
159306,53.34,72.33
159313,119.35,576.42
159359,49.63,72.33
159467,104.54,200.63
159480,69.74,145.05
159513,93.22,140.74
159546,59.47,121.92
159573,104.54,115.1
159598,47.52,89.75
159601,69.73,166.62
159611,158.39,454.04
159619,62.28,249.14
159628,53.17,187.95
159682,49.84,152.05
159707,55.25,100.46
159744,91.92,195.2
159745,124.96,226.18
159815,114.33,463.53
160045,59.28,127.58
160061,71.15,133.19
160066,76.66,220.7
160096,30.8,89.67
160099,50.23,60.28
160101,102.24,246.83
160113,141.63,183.47
160156,63.29,174.8
160178,80.56,154.92
160195,154.92,196.23
160214,51.01,141.65
160286,171.29,421.04
160361,94.13,226.84
160397,315.45,351.62
160406,98.9,98.9
160451,123.38,123.38
160493,74.81,206.75
160517,88.7,137.27
160610,42.19,65.3
160636,68.42,171.06
160649,82.38,116.63
160665,274.54,615.6
160666,116.16,420.26
160759,268.21,468.83
160913,53.45,99.92
160918,88.86,252.37
160958,34.16,49.23
160995,88.59,88.59
161002,107.29,194.29
161077,81.73,243.92
161078,52.27,153.1
161108,63.36,89.75
161149,33.46,33.46
161166,56.07,123.44
161194,88.7,139.38
161240,165.14,637.77
161248,65.93,164.82
161255,57.26,105.48
161307,107.9,177.24
161314,68.64,126.71
161365,67.57,130.93
161428,445.28,698.16
161468,68.16,92.46
161473,60.93,130.14
162048,52.95,282.82
162049,100.32,319.94
162050,76.03,85.53
162061,85.39,96.44
162086,78.36,131.5
162125,52.8,89.75
162134,45.21,83.38
162156,70.23,109.48
162158,65.07,133.23
162202,59.27,122.59
162235,52.95,157.34
162250,35.9,72.86
162306,54.25,58.27
162344,39.46,74.54
162378,73.91,190.07
162386,42.03,42.03
162389,123.54,422.36
162409,87.81,175.62
162416,58.07,68.64
162427,208.96,405.87
162433,98.55,119.55
162451,62.3,157.09
162462,89.75,121.43
162463,56.26,95.44
162478,72.33,76.9
162522,64.15,179.61
162620,61.84,136.36
162645,124.34,196.59
162657,79.19,134.63
162661,29.2,94.87
162677,60.28,124.58
162695,61.49,137.43
162697,68.32,185.81
162716,51.74,111.92
162762,53.24,163.75
162962,246.14,296.36
162966,42.58,52.72
163185,67.06,183.73
163243,51.74,110.87
163244,53.85,67.57
163379,49.73,94.94
163391,92.3,165.76
163420,41.07,65.9
163439,221.02,346.04
163469,70.44,160.74
163558,54.15,114.93
163659,82.28,251.68
163759,59.3,101.37
163762,95.03,121.43
163767,65.74,98.12
163771,89.41,170.18
163819,74.13,272.43
163868,76.58,109.97
163869,63.36,95.03
163910,39.02,90.42
163963,60.47,148.98
163966,64.32,95.25
163985,41.19,58.71
164409,55.96,80.72
164422,48.57,134.64
164778,74.13,148.25
164792,57.02,125.65
164961,110.51,225.04
165079,65.84,348.6
165359,181.84,294.36
165495,51.74,71.81
165667,36.57,843.3
165710,236.63,464.56
165718,175.81,444.44
165835,142.55,195.35
165902,148.71,404.42
166003,69.71,299.51
166024,30.01,61.77
166064,170.94,554.56
166139,114.02,181.06
166322,63.36,116.16
166328,58.07,163.67
166334,113.09,166.31
166344,63.08,136.21
166356,63.36,84.48
166357,37.27,70.16
166383,62.3,104.54
166392,132.55,539.58
166393,195.35,570.2
166395,109.82,363.24
166406,85.26,153.1
166410,81.31,123.54
166452,31.41,59.21
166462,80.77,618.34
166465,49.63,84.48
166472,95.03,95.03
166473,151.38,226.28
166476,52.8,84.48
166491,83.41,125.66
166608,108.9,150.04
166623,163.75,537.48
166697,114.53,462.13
166730,49.23,49.23
166748,97.08,175.58
166797,61.28,69.12
166889,54.71,107.19
166917,61.96,119.8
166942,302.4,601.98
166950,65.81,155.72
166965,104.51,401.98
167007,97.45,125.58
167010,79.37,165.76
167012,105.38,381.66
167047,115.0,135.51
167048,69.2,133.23
167055,50.23,96.44
167104,49.4,81.28
167237,45.21,60.28
167297,63.29,70.33
167422,136.3,187.21
167493,230.98,272.85
167537,60.28,165.76
167549,102.24,164.22
167660,130.6,281.3
167718,75.85,287.88
167749,68.46,83.13
167925,40.18,111.52
167963,65.3,112.76
167966,100.46,130.6
167990,98.12,170.42
168006,198.44,334.02
168014,45.21,163.75
168017,43.78,78.29
168059,69.89,101.08
168137,88.41,196.91
168158,38.23,54.77
168173,166.77,498.3
168182,135.0,174.22
168220,93.98,294.6
168222,61.77,117.21
168253,49.26,90.42
168260,150.69,241.11
168276,64.19,104.03
168297,105.34,346.5
168339,76.09,194.66
168348,104.54,163.67
168357,42.26,99.6
168439,120.16,246.14
168443,76.86,130.6
168524,86.65,219.52
168535,99.38,212.01
168601,31.21,82.34
168603,89.94,118.1
168619,78.14,136.21
168701,51.0,367.46
168715,88.41,321.48
168730,54.25,105.48
168736,59.97,91.42
168812,100.32,116.16
168869,83.78,236.26
168966,150.69,391.81
169222,58.92,76.03
169247,65.3,78.86
169288,50.23,85.39
169316,75.39,175.58
169358,142.55,253.17
169395,85.39,135.63
169556,101.12,227.04
169618,67.81,120.55
169623,87.48,199.92
169675,89.93,132.13
169698,58.09,93.99
169793,72.86,146.77
169822,129.59,439.02
169825,71.93,134.49
169859,46.57,88.7
169886,53.08,88.21
169895,81.98,217.0
169959,63.29,175.81
169999,132.61,139.64
170017,153.1,242.87
170099,67.31,527.12
170179,67.31,98.45
170191,82.12,151.07
170241,90.47,100.54
170305,125.42,171.03
170309,116.53,202.94
170335,40.18,58.27
170339,43.2,94.43
170354,89.86,177.4
170364,67.81,109.4
170381,60.28,139.24
170457,45.21,80.37
170489,69.32,521.41
170501,79.37,149.69
170522,99.15,99.15
170568,49.23,59.28
170581,159.06,200.36
170607,79.92,129.65
170610,45.45,87.62
170626,68.16,115.54
170668,65.3,99.46
170789,143.76,173.57
170817,87.8,370.31
170826,50.43,77.82
170832,102.24,118.78
170860,80.56,122.9
170868,72.44,88.99
170890,36.15,92.95
171044,87.58,185.57
171072,127.78,127.78
171089,59.91,129.1
171092,62.3,147.83
171107,75.35,110.51
171205,104.49,117.54
171216,70.33,110.51
171236,79.37,135.63
171239,75.3,111.3
171240,107.49,235.09
171246,54.23,88.31
171284,138.63,278.48
171291,67.31,226.05
171312,53.24,62.28
171326,80.37,105.48
171382,155.75,506.84
171406,92.43,115.54
171433,70.89,101.78
171460,55.68,99.94
171463,68.64,168.94
171483,125.68,272.19
171488,115.46,232.83
171523,60.06,154.0
171580,109.82,270.31
171656,57.27,120.55
171665,75.08,140.15
171675,73.91,126.71
171746,44.64,69.45
171761,51.74,71.81
171839,94.43,176.82
171877,77.46,175.58
171904,60.58,293.25
171957,63.29,1030.04
171965,236.81,524.42
172047,71.27,134.63
172085,39.43,91.72
172100,73.91,137.27
172101,62.3,104.54
172118,58.07,142.55
172135,79.19,126.71
172151,75.06,100.3
172153,89.75,158.39
172167,63.36,95.03
172206,101.63,148.62
172218,92.43,149.69
172289,129.3,240.36
172308,61.24,84.48
172465,89.33,163.34
172589,46.72,160.5
172757,70.23,135.3
173647,76.35,126.59
173654,60.28,68.32
173711,35.69,42.83
173742,89.41,115.28
173755,73.33,238.09
173771,103.48,205.9
173772,142.55,195.35
173824,35.16,75.35
173946,76.35,150.69
174011,65.3,200.93
174072,97.69,181.52
174085,95.78,123.14
174207,93.44,552.55
174271,54.73,118.98
174296,42.75,130.35
174653,55.35,112.72
174732,45.44,68.16
174779,58.37,133.02
174871,79.19,147.83
174885,55.24,108.59
174912,115.52,227.13
175006,81.38,209.97
175061,65.3,122.57
175078,94.5,115.62
175320,129.16,138.46
175355,79.37,135.63
175398,57.91,117.95
175422,116.4,256.18
175457,62.3,90.81
175485,85.53,105.59
175494,282.35,611.38
175499,69.32,125.58
175551,58.3,210.91
175565,86.02,9789.45
175578,73.91,142.55
175592,71.27,102.24
175616,151.75,186.11
175643,112.77,125.44
175662,63.96,152.47
175690,33.11,48.68
175709,59.28,74.34
175710,89.86,167.83
175726,65.3,65.3
175762,44.25,93.98
175779,125.19,455.98
175816,68.31,179.48
175833,51.23,112.52
175886,83.41,116.16
175893,116.39,163.28
175919,69.69,89.75
175965,89.75,89.75
175987,46.57,104.43
176055,30.7,48.23
176062,46.91,88.62
176088,67.41,95.04
176089,65.3,107.84
176103,67.13,123.94
176116,143.56,210.69
176164,55.25,119.08
176314,67.39,67.39
176339,150.69,170.79
176584,37.57,44.2
176711,120.55,135.63
176784,47.95,104.83
176840,113.13,199.92
176871,75.08,170.11
176880,106.34,292.95
176972,184.08,679.61
177028,194.6,384.35
177042,115.86,140.21
177127,99.46,208.96
177162,69.69,101.64
177234,49.08,245.36
177240,58.53,77.58
177242,63.29,213.24
177255,86.61,148.98
177408,45.71,115.28
177420,45.64,110.6
177428,90.42,187.87
177448,50.08,95.44
177522,82.73,167.91
177540,52.8,162.19
177588,37.29,170.95
177624,88.7,195.35
